A1CF	Q9NQ94
ASPSCR1	Q9BZE9
ASS1	P00966
ATAD2	Q6PL18
ATAD3A	Q9NVI7
ATAD3B	Q5T9A4
ATF7IP	Q6VMQ6
ATG3	Q9NT62
ATG4B	Q9Y4P1
ATG4C	Q96DT6
ATG7	O95352
ATG9A	Q7Z3C6
ATIC	P31939
ATL3	Q6DD88
ATM	Q13315
ATOX1	O00244
ATP13A1	Q9HD20
ATP13A3	Q9H7F0
ATP1A1	P05023
ATP1A3	P13637
ATP1B1	P05026
ATP2A1	O14983
ATP2A2	P16615
ATP2B1	P20020
ATP5F1A	P25705
ATP5F1B	P06576
ATP5F1C	P36542
ATP6V0E1	O15342
ATP6V1A	P38606
ATP6V1B2	P21281
ATP6V1C1	P21283
ATP6V1E1	P36543
ATP6V1G1	O75348
ATP6V1H	Q9UI12
ATP8B1	O43520
ATR	Q13535
ATRN	O75882
ATRX	P46100
ATXN10	Q9UBB4
ATXN1L	P0C7T5
ATXN2	Q99700
ATXN2L	Q8WWM7
ATXN3	P54252
AURKA	O14965
AZGP1	P25311
B3GLCT	Q6Y288
BABAM1	Q9NWV8
BABAM2	Q9NXR7
BAG2	O95816
BAG3	O95817
BAG4	O95429
BAG5	Q9UL15
BAG6	P46379
BAIAP2	Q9UQB8
BAIAP2L1	Q9UHR4
BANF1	O75531
BAP1	Q92560
BASP1	P80723
BAX	Q07812
BAZ1A	Q9NRL2
BAZ1B	Q9UIG0
BAZ2A	Q9UIF9
BAZ2B	Q9UIF8
BCAP31	P51572
BCAS2	O75934
BCAT1	P54687
BCAT2	O15382
BCCIP	Q9P287
BCDIN3D	Q7Z5W3
BCL7A	Q4VC05
BCL9L	Q86UU0
BCLAF1	Q9NYF8
BCLAF3	A2AJT9
BCOR	Q6W2J9
BCR	P11274
BDH2	Q9BUT1
BDP1	A6H8Y1
BICC1	Q9H694
BICD2	Q8TD16
BID	P55957
BIN1	O00499
BIRC6	Q9NR09
BLM	P54132
BLMH	Q13867
BLOC1S6	Q9UL45
BLVRA	P53004
BLVRB	P30043
BMI1	P35226
BMP2K	Q9NSY1
BMS1	Q14692
BMX	P51813
BOD1L1	Q8NFC6
BOLA2	Q9H3K6
BOLL	Q8N9W6
BOP1	Q14137
BPNT1	O95861
BPTF	Q12830
BRAP	Q7Z569
BRAT1	Q6PJG6
BRCA1	P38398
BRCC3	P46736
BRD2	P25440
BRD3	Q15059
BRD4	O60885
BRD7	Q9NPI1
BRD8	Q9H0E9
BRD9	Q9H8M2
BRIX1	Q8TDN6
BRMS1L	Q5PSV4
BROX	Q5VW32
BRPF1	P55201
BRWD1	Q9NSI6
BSDC1	Q9NW68
BST2	Q10589
BTAF1	O14981
BTD	P43251
BTF3	P20290
BTF3L4	Q96K17
BTG3	Q14201
BUB1	O43683
BUB1B	O60566
BUB3	O43684
BUD13	Q9BRD0
BUD23	O43709
BUD31	P41223
BYSL	Q13895
BZW1	Q7L1Q6
BZW2	Q9Y6E2
C11ORF58	O00193
C11ORF68	Q9H3H3
C11ORF98	E9PRG8
C12ORF10	Q9HB07
C12ORF29	Q8N999
C12ORF43	Q96C57
C12ORF45	Q8N5I9
C12ORF65	Q9H3J6
C14ORF93	Q9H972
C17ORF75	Q9HAS0
C18ORF21	Q32NC0
C18ORF25	Q96B23
C19ORF47	Q8N9M1
C19ORF66	Q9NUL5
C1ORF122	Q6ZSJ8
C1ORF123	Q9NWV4
C1ORF131	Q8NDD1
C1ORF35	Q9BU76
C1ORF52	Q8N6N3
C1QA	P02745
C1QBP	Q07021
C20ORF27	Q9GZN8
C2CD3	Q4AC94
C2ORF15	Q8WU43
C4BPA	P04003
C5ORF22	Q49AR2
C7ORF50	Q9BRJ6
C8ORF33	Q9H7E9
C8ORF59	Q8N0T1
C9ORF78	Q9NZ63
CA2	P00918
CA8	P35219
CAB39	Q9Y376
CACHD1	Q5VU97
CACNA1G	O43497
CACTIN	Q8WUQ7
CACYBP	Q9HB71
CAD	P27708
CADM1	Q9BY67
CALCOCO1	Q9P1Z2
CALCOCO2	Q13137
CALD1	Q05682
CALM1	P0DP23
CALM2	P0DP24
CALM3	P0DP25
CALML5	Q9NZT1
CALR	P27797
CALU	O43852
CAMK1	Q14012
CAMK2D	Q13557
CAMK2N1	Q7Z7J9
CAMK4	Q16566
CAMKK2	Q96RR4
CAMSAP2	Q08AD1
CAND1	Q86VP6
CAND2	O75155
CANX	P27824
CAP1	Q01518
CAPG	P40121
CAPN1	P07384
CAPN2	P17655
CAPN7	Q9Y6W3
CAPNS1	P04632
CAPRIN1	Q14444
CAPZA1	P52907
CAPZA2	P47755
CAPZB	P47756
CARF	Q8N187
CARHSP1	Q9Y2V2
CARM1	Q86X55
CARS	P49589
CASC3	O15234
CASK	O14936
CASP14	P31944
CASP2	P42575
CASP3	P42574
CASP6	P55212
CAST	P20810
CAT	P04040
CAVIN1	Q6NZI2
CBFB	Q13951
CBL	P22681
CBR1	P16152
CBS	P35520
CBWD2	Q8IUF1
CBX1	P83916
CBX2	Q14781
CBX3	Q13185
CBX5	P45973
CBX8	Q9HC52
CC2D1A	Q6P1N0
CC2D1B	Q5T0F9
CCAR1	Q8IX12
CCAR2	Q8N163
CCDC117	Q8IWD4
CCDC12	Q8WUD4
CCDC124	Q96CT7
CCDC137	Q6PK04
CCDC138	Q96M89
CCDC14	Q49A88
CCDC22	O60826
CCDC25	Q86WR0
CCDC43	Q96MW1
CCDC47	Q96A33
CCDC50	Q8IVM0
CCDC58	Q4VC31
CCDC59	Q9P031
CCDC6	Q16204
CCDC77	Q9BR77
CCDC8	Q9H0W5
CCDC85C	A6NKD9
CCDC86	Q9H6F5
CCDC88A	Q3V6T2
CCDC9	Q9Y3X0
CCDC93	Q567U6
CCDC97	Q96F63
CCDC9B	Q6ZUT6
CCHCR1	Q8TD31
CCL17	Q92583
CCL21	O00585
CCN1	O00622
CCNB1	P14635
CCNH	P51946
CCNK	O75909
CCNL1	Q9UK58
CCNT1	O60563
CCP110	O43303
CCS	O14618
CCT2	P78371
CCT3	P49368
CCT4	P50991
CCT5	P48643
CCT6A	P40227
CCT7	Q99832
CCT8	P50990
CD109	Q6YHK3
CD24	P25063
CD2AP	Q9Y5K6
CD2BP2	O95400
CD3EAP	O15446
CD44	P16070
CD55	P08174
CD58	P19256
CDAN1	Q8IWY9
CDC123	O75794
CDC14B	O60729
CDC14C	A4D256
CDC20	Q12834
CDC25C	P30307
CDC27	P30260
CDC34	P49427
CDC37	Q16543
CDC40	O60508
CDC42	P60953
CDC42BPA	Q5VT25
CDC42BPB	Q9Y5S2
CDC42EP4	Q9H3Q1
CDC42SE2	Q9NRR3
CDC45	O75419
CDC5L	Q99459
CDC6	Q99741
CDC7	O00311
CDC73	Q6P1J9
CDH1	P12830
CDH10	Q9Y6N8
CDH2	P19022
CDK1	P06493
CDK11B	P21127
CDK12	Q9NYV4
CDK13	Q14004
CDK14	O94921
CDK19	Q9BWU1
CDK2	P24941
CDK4	P11802
CDK5	Q00535
CDK5RAP2	Q96SN8
CDK6	Q00534
CDK7	P50613
CDK8	P49336
CDK9	P50750
CDKAL1	Q5VV42
CDKN2A	P42771
CDKN2AIP	Q9NXV6
CDV3	Q9UKY7
CEBPZ	Q03701
CELF1	Q92879
CELF2	O95319
CELF3	Q5SZQ8
CENPB	P07199
CENPE	Q02224
CENPF	P49454
CENPH	Q9H3R5
CENPQ	Q7L2Z9
CENPU	Q71F23
CEP128	Q6ZU80
CEP131	Q9UPN4
CEP152	O94986
CEP170	Q5SW79
CEP170B	Q9Y4F5
CEP192	Q8TEP8
CEP250	Q9BV73
CEP290	O15078
CEP350	Q5VT06
CEP55	Q53EZ4
CEP63	Q96MT8
CEP78	Q5JTW2
CEP85	Q6P2H3
CEP97	Q8IW35
CEPT1	Q9Y6K0
CETN2	P41208
CFAP20	Q9Y6A4
CFAP298	P57076
CFAP65	Q6ZU64
CFAP97	Q9P2B7
CFDP1	Q9UEE9
CFL1	P23528
CFL2	Q9Y281
CGAS	Q8N884
CGN	Q9P2M7
CHAC2	Q8WUX2
CHAF1A	Q13111
CHAF1B	Q13112
CHAMP1	Q96JM3
CHCHD1	Q96BP2
CHCHD2	Q9Y6H1
CHCHD3	Q9NX63
CHCHD4	Q8N4Q1
CHD1	O14646
CHD1L	Q86WJ1
CHD2	O14647
CHD3	Q12873
CHD4	Q14839
CHD7	Q9P2D1
CHD8	Q9HCK8
CHEK1	O14757
CHEK2	O96017
CHERP	Q8IWX8
CHGA	P10645
CHIA	Q9BZP6
CHM	P24386
CHML	P26374
CHMP1A	Q9HD42
CHMP2A	O43633
CHMP2B	Q9UQN3
CHMP3	Q9Y3E7
CHMP4A	Q9BY43
CHMP4B	Q9H444
CHMP5	Q9NZZ3
CHMP7	Q8WUX9
CHORDC1	Q9UHD1
CHRAC1	Q9NRG0
CHTF18	Q8WVB6
CHTOP	Q9Y3Y2
CHUK	O15111
CIAO1	O76071
CIAPIN1	Q6FI81
CIP2A	Q8TCG1
CIR1	Q86X95
CIRBP	Q14011
CISD1	Q9NZ45
CISD2	Q8N5K1
CIT	O14578
CIZ1	Q9ULV3
CKAP2	Q8WWK9
CKAP4	Q07065
CKAP5	Q14008
CKB	P12277
CKMT1B	P12532
CLASP1	Q7Z460
CLASP2	O75122
CLASRP	Q8N2M8
CLCN7	P51798
CLIC1	O00299
CLIC4	Q9Y696
CLINT1	Q14677
CLIP1	P30622
CLK2	P49760
CLK3	P49761
CLN5	O75503
CLNS1A	P54105
CLPB	Q9H078
CLPP	Q16740
CLPTM1L	Q96KA5
CLPX	O76031
CLTA	P09496
CLTB	P09497
CLTC	Q00610
CLU	P10909
CLUH	O75153
CMAS	Q8NFW8
CMBL	Q96DG6
CMPK1	P30085
CMSS1	Q9BQ75
CMTR1	Q8N1G2
CNBP	P62633
CNDP2	Q96KP4
CNN1	P51911
CNN2	Q99439
CNN3	Q15417
CNOT1	A5YKK6
CNOT10	Q9H9A5
CNOT11	Q9UKZ1
CNOT2	Q9NZN8
CNOT3	O75175
CNOT4	O95628
CNOT6	Q9ULM6
CNOT6L	Q96LI5
CNOT7	Q9UIV1
CNOT8	Q9UFF9
CNOT9	Q92600
CNPY2	Q9Y2B0
CNPY3	Q9BT09
CNTROB	Q8N137
COA6	Q5JTJ3
COG1	Q8WTW3
COG3	Q96JB2
COG8	Q96MW5
COIL	P38432
COL14A1	Q05707
COL1A1	P02452
COL4A3BP	Q9Y5P4
COL6A1	P12109
COL9A2	Q14055
COLGALT1	Q8NBJ5
COMMD4	Q9H0A8
COMMD9	Q9P000
COPA	P53621
COPB1	P53618
COPB2	P35606
COPE	O14579
COPG1	Q9Y678
COPG2	Q9UBF2
COPS2	P61201
COPS3	Q9UNS2
COPS4	Q9BT78
COPS5	Q92905
COPS6	Q7L5N1
COPS7A	Q9UBW8
COPS7B	Q9H9Q2
COPS8	Q99627
COPZ1	P61923
CORO1A	P31146
CORO1B	Q9BR76
CORO1C	Q9ULV4
CORO7	P57737
COTL1	Q14019
CPEB1	Q9BZB8
CPEB2	Q7Z5Q1
CPEB3	Q8NE35
CPEB4	Q17RY0
CPLX2	Q6PUV4
CPNE1	Q99829
CPNE3	O75131
CPNE8	Q86YQ8
CPOX	P36551
CPS1	P31327
CPSF1	Q10570
CPSF2	Q9P2I0
CPSF3	Q9UKF6
CPSF4	O95639
CPSF6	Q16630
CPSF7	Q8N684
CPVL	Q9H3G5
CREB1	P16220
CREBBP	Q92793
CRELD2	Q6UXH1
CRIP2	P52943
CRK	P46108
CRKL	P46109
CRNKL1	Q9BZJ0
CRNN	Q9UBG3
CROCC	Q5TZA2
CRTAP	O75718
CRYAB	P02511
CRYBG3	Q68DQ2
CRYZL1	O95825
CS	O75390
CSDE1	O75534
CSE1L	P55060
CSK	P41240
CSNK1A1	P48729
CSNK1D	P48730
CSNK1E	P49674
CSNK1G3	Q9Y6M4
CSNK2A1	P68400
CSNK2A2	P19784
CSNK2B	P67870
CSPP1	Q1MSJ5
CSRP1	P21291
CSRP2	Q16527
CSTB	P04080
CSTF1	Q05048
CSTF2	P33240
CSTF2T	Q9H0L4
CSTF3	Q12996
CTBP1	Q13363
CTBP2	P56545
CTCF	P49711
CTDP1	Q9Y5B0
CTDSP1	Q9GZU7
CTDSP2	O14595
CTH	P32929
CTIF	O43310
CTNNA1	P35221
CTNNA2	P26232
CTNNBL1	Q8WYA6
CTNND1	O60716
CTPS1	P17812
CTPS2	Q9NRF8
CTR9	Q6PD62
CTSA	P10619
CTSB	P07858
CTSC	P53634
CTSD	P07339
CTSL	P07711
CTTN	Q14247
CTTNBP2NL	Q9P2B4
CTU2	Q2VPK5
CUL1	Q13616
CUL2	Q13617
CUL3	Q13618
CUL4A	Q13619
CUL4B	Q13620
CUL5	Q93034
CWC15	Q9P013
CWC22	Q9HCG8
CWC25	Q9NXE8
CWC27	Q6UX04
CWF19L1	Q69YN2
CWF19L2	Q2TBE0
CXORF56	Q9H5V9
CXORF57	Q6NSI4
CXXC1	Q9P0U4
CXXC5	Q7LFL8
CYB5R3	P00387
CYCS	P99999
CYFIP1	Q7L576
CYFIP2	Q96F07
CYLD	Q9NQC7
CYP51A1	Q16850
DAG1	Q14118
DAGLB	Q8NCG7
DAP	P51397
DAP3	P51398
DARS	P14868
DARS2	Q6PI48
DAXX	Q9UER7
DAZAP1	Q96EP5
DAZAP2	Q15038
DAZL	Q92904
DBI	P07108
DBN1	Q16643
DBNL	Q9UJU6
DBP	Q10586
DBR1	Q9UK59
DBT	P11182
DCAF1	Q9Y4B6
DCAF13	Q9NV06
DCAF16	Q9NXF7
DCAF5	Q96JK2
DCAF7	P61962
DCAF8	Q5TAQ9
DCD	P81605
DCLK3	Q9C098
DCN	P07585
DCP1A	Q9NPI6
DCP1B	Q8IZD4
DCP2	Q8IU60
DCPS	Q96C86
DCTD	P32321
DCTN1	Q14203
DCTN2	Q13561
DCTN4	Q9UJW0
DCTN5	Q9BTE1
DCTPP1	Q9H773
DCUN1D1	Q96GG9
DCUN1D5	Q9BTE7
DCXR	Q7Z4W1
DDAH1	O94760
DDB1	Q16531
DDI2	Q5TDH0
DDR1	Q08345
DDT	P30046
DDX1	Q92499
DDX10	Q13206
DDX17	Q92841
DDX18	Q9NVP1
DDX19A	Q9NUU7
DDX20	Q9UHI6
DDX21	Q9NR30
DDX23	Q9BUQ8
DDX24	Q9GZR7
DDX27	Q96GQ7
DDX28	Q9NUL7
DDX31	Q9H8H2
DDX39A	O00148
DDX39B	Q13838
DDX3X	O00571
DDX3Y	O15523
DDX41	Q9UJV9
DDX42	Q86XP3
DDX43	Q9NXZ2
DDX46	Q7L014
DDX47	Q9H0S4
DDX49	Q9Y6V7
DDX5	P17844
DDX50	Q9BQ39
DDX51	Q8N8A6
DDX52	Q9Y2R4
DDX54	Q8TDD1
DDX55	Q8NHQ9
DDX56	Q9NY93
DDX58	O95786
DDX6	P26196
DDX60L	Q5H9U9
DEF6	Q9H4E7
DEK	P35659
DENR	O43583
DEPDC1B	Q8WUY9
DERA	Q9Y315
DFFA	O00273
DFFB	O76075
DGCR8	Q8WYQ5
DGKA	P23743
DGKB	Q9Y6T7
DHCR7	Q9UBM7
DHFR	P00374
DHX15	O43143
DHX16	O60231
DHX29	Q7Z478
DHX30	Q7L2E3
DHX33	Q9H6R0
DHX34	Q14147
DHX36	Q9H2U1
DHX37	Q8IY37
DHX38	Q92620
DHX40	Q8IX18
DHX57	Q6P158
DHX8	Q14562
DHX9	Q08211
DIABLO	Q9NR28
DIAPH1	O60610
DIAPH2	O60879
DIAPH3	Q9NSV4
DICER1	Q9UPY3
DIDO1	Q9BTC0
DIEXF	Q68CQ4
DIMT1	Q9UNQ2
DIP2B	Q9P265
DIS3	Q9Y2L1
DIS3L	Q8TF46
DIS3L2	Q8IYB7
DKC1	O60832
DLAT	P10515
DLD	P09622
DLG1	Q12959
DLGAP5	Q15398
DLST	P36957
DMGDH	Q9UI17
DMKN	Q6E0U4
DMPK	Q09013
DNAAF5	Q86Y56
DNAJA1	P31689
DNAJA2	O60884
DNAJB1	P25685
DNAJB11	Q9UBS4
DNAJB12	Q9NXW2
DNAJB6	O75190
DNAJC1	Q96KC8
DNAJC13	O75165
DNAJC17	Q9NVM6
DNAJC2	Q99543
DNAJC21	Q5F1R6
DNAJC3	Q13217
DNAJC7	Q99615
DNAJC8	O75937
DNAJC9	Q8WXX5
DNM1	Q05193
DNM1L	O00429
DNM2	P50570
DNMBP	Q6XZF7
DNMT1	P26358
DNPEP	Q9ULA0
DNPH1	O43598
DNTTIP2	Q5QJE6
DOCK1	Q14185
DOCK11	Q5JSL3
DOCK7	Q96N67
DOHH	Q9BU89
DPCD	Q9BVM2
DPF2	Q92785
DPH5	Q9H2P9
DPP3	Q9NY33
DPP9	Q86TI2
DPYSL2	Q16555
DPYSL3	Q14195
DPYSL5	Q9BPU6
DR1	Q01658
DRAP1	Q14919
DRD3	P35462
DRG1	A8K8P3
DRG2	P55039
DROSHA	Q9NRR4
DSC1	Q08554
DSG1	Q02413
DSG2	Q14126
DSN1	Q9H410
DSP	P15924
DST	Q03001
DSTN	P60981
DTL	Q9NZJ0
DTX3L	Q8TDB6
DTYMK	P23919
DUS1L	Q6P1R4
DUS2	Q9NX74
DUS3L	Q96G46
DUSP11	O75319
DUSP12	Q9UNI6
DUSP14	O95147
DUSP18	Q8NEJ0
DUSP23	Q9BVJ7
DUSP26	Q9BV47
DUSP3	P51452
DUSP6	Q16828
DUSP9	Q99956
DUT	P33316
DVL2	O14641
DVL3	Q92997
DYNC1H1	Q14204
DYNC1I2	Q13409
DYNC1LI1	Q9Y6G9
DYNC1LI2	O43237
DYNC2H1	Q8NCM8
DYNLL1	P63167
DYNLL2	Q96FJ2
DYRK1A	Q13627
DYRK2	Q92630
DYRK4	Q9NR20
DZIP1	Q86YF9
DZIP3	Q86Y13
EBNA1BP2	Q99848
EBP	Q15125
ECD	O95905
ECE1	P42892
ECH1	Q13011
ECHDC1	Q9NTX5
ECHS1	P30084
ECI1	P42126
ECPAS	Q5VYK3
EDC3	Q96F86
EDC4	Q6P2E9
EDEM3	Q9BZQ6
EDF1	O60869
EDRF1	Q3B7T1
EEA1	Q15075
EED	O75530
EEF1A1	P68104
EEF1A2	Q05639
EEF1B2	P24534
EEF1D	P29692
EEF1E1	O43324
EEF1G	P26641
EEF2	P13639
EEF2K	O00418
EFHD2	Q96C19
EFL1	Q7Z2Z2
EFTUD2	Q15029
EGLN1	Q9GZT9
EHBP1	Q8NDI1
EHD1	Q9H4M9
EHD4	Q9H223
EHMT1	Q9H9B1
EHMT2	Q96KQ7
EIF1	P41567
EIF1AD	Q8N9N8
EIF1AX	P47813
EIF1B	O60739
EIF2A	Q9BY44
EIF2AK1	Q9BQI3
EIF2AK2	P19525
EIF2AK4	Q9P2K8
EIF2B1	Q14232
EIF2B2	P49770
EIF2B3	Q9NR50
EIF2B4	Q9UI10
EIF2B5	Q13144
EIF2D	P41214
EIF2S1	P05198
EIF2S2	P20042
EIF2S3	P41091
EIF3A	Q14152
EIF3B	P55884
EIF3C	Q99613
EIF3D	O15371
EIF3E	P60228
EIF3F	O00303
EIF3G	O75821
EIF3H	O15372
EIF3I	Q13347
EIF3J	O75822
EIF3K	Q9UBQ5
EIF3L	Q9Y262
EIF3M	Q7L2H7
EIF4A1	P60842
EIF4A2	Q14240
EIF4A3	P38919
EIF4B	P23588
EIF4E	P06730
EIF4E2	O60573
EIF4E3	Q8N5X7
EIF4ENIF1	Q9NRA8
EIF4G1	Q04637
EIF4G2	P78344
EIF4G3	O43432
EIF4H	Q15056
EIF5	P55010
EIF5A	P63241
EIF5B	O60841
EIF6	P56537
ELAC2	Q9BQ52
ELAVL1	Q15717
ELAVL2	Q12926
ELAVL3	Q14576
ELAVL4	P26378
ELL	P55199
ELMSAN1	Q6PJG2
ELOA	Q14241
ELOB	Q15370
ELOC	Q15369
ELOF1	P60002
ELP1	O95163
ELP2	Q6IA86
ELP3	Q9H9T3
EMC1	Q8N766
EMD	P50402
EMG1	Q92979
EML2	O95834
EML4	Q9HC35
ENAH	Q8N8S7
ENDOV	Q8N8Q3
ENO1	P06733
ENOPH1	Q9UHY7
ENPP3	O14638
ENPP4	Q9Y6X5
ENSA	O43768
ENTPD1	P49961
ENTR1	Q96C92
ENY2	Q9NPA8
EP300	Q09472
EP400	Q96L91
EPB41	P11171
EPB41L2	O43491
EPB41L3	Q9Y2J2
EPCAM	P16422
EPN1	Q9Y6I3
EPPK1	P58107
EPRS	P07814
EPS15	P42566
EPS15L1	Q9UBC2
EPS8L3	Q8TE67
ERAL1	O75616
ERBIN	Q96RT1
ERC1	Q8IUD2
ERCC1	P07992
ERCC3	P19447
ERCC4	Q92889
ERCC6L	Q2NKX8
ERH	P84090
ERI1	Q8IV48
ERI3	O43414
ERICH1	Q86X53
ERMP1	Q7Z2K6
ERO1A	Q96HE7
ERP29	P30040
ERP44	Q9BS26
ESD	P10768
ESF1	Q9H501
ESPL1	Q14674
ESRP1	Q6NXG1
ESRP2	Q9H6T0
ESYT1	Q9BSJ8
ESYT2	A0FGR8
ETF1	P62495
ETFA	P13804
ETFB	P38117
ETNK1	Q9HBU6
EWSR1	Q01844
EXO1	Q9UQ84
EXOC1	Q9NV70
EXOC2	Q96KP1
EXOC3	O60645
EXOC4	Q96A65
EXOC5	O00471
EXOC6B	Q9Y2D4
